code_module,code_presentation,id_student,date_submitted,is_banked,exam,exam_cutoff,assessment_name,exam_cutoff_week,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,course_credits,module_presentation_length,credits_other,educ_band,region_band,is_repeating,ocas,sum_score,num_submitted,num_banked,ocas_rel,date_registration,pct_weeks_active,pct_weeks_online,credits_other_band,mod_pres,is_pass,TMA 1,TMA 2,TMA 3,TMA 4,TMA 5,TMA 6,CMA 1,CMA 2,CMA 3,CMA 4,CMA 5,CMA 6,CMA 7
CCC,2014B,563046,230,0,44.0,241.0,Exam,35,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,England,NEW,4410.0,417.0,7.0,0.0,44.1,-85.0,0.6571428571428571,0.6571428571428571,"[1, 60)",CCC_2014B,True,64.0,64.0,,35.0,,,50.0,76.0,61.0,67.0,,,
CCC,2014B,563819,230,0,74.0,241.0,Exam,35,M,South East Region,A Level or Equivalent,50-60%,0-35,0,90,Disabled,Pass,30,241,60,1_ALevel,England,NEW,3803.0,280.0,5.0,0.0,38.03,-177.0,0.5714285714285714,0.5714285714285714,"[60, 600)",CCC_2014B,True,66.0,50.0,61.0,,,,,57.0,46.0,,,,
CCC,2014B,565399,230,0,100.0,241.0,Exam,35,M,London Region,HE Qualification,0-10%,0-35,0,30,Non-Disabled,Distinction,30,241,0,2_higher_ALevel,England,NEW,6626.0,578.0,6.0,0.0,66.26,-17.0,0.9428571428571428,0.9428571428571428,"[0, 1)",CCC_2014B,True,,,100.0,93.0,,,100.0,100.0,100.0,85.0,,,
CCC,2014B,566185,230,0,36.0,241.0,Exam,35,F,West Midlands Region,A Level or Equivalent,0-10%,35+,0,120,Non-Disabled,Fail,30,241,90,1_ALevel,England,NEW,4610.0,385.0,8.0,0.0,46.1,-268.0,0.7714285714285715,0.7714285714285715,"[60, 600)",CCC_2014B,False,70.0,31.0,52.0,46.0,,,50.0,46.0,40.0,50.0,,,
CCC,2014B,566310,234,0,78.0,241.0,Exam,35,M,Scotland,A Level or Equivalent,10-20,35+,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,Scotland,NEW,8011.0,617.0,8.0,0.0,80.11,-176.0,0.8285714285714286,0.8285714285714286,"[1, 60)",CCC_2014B,True,92.0,87.0,83.0,75.0,,,60.0,87.0,70.0,63.0,,,
CCC,2014B,566428,230,0,94.0,241.0,Exam,35,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,Non-Disabled,Distinction,30,241,30,1_ALevel,England,NEW,9176.0,718.0,8.0,0.0,91.76,-22.0,0.4,0.4,"[1, 60)",CCC_2014B,True,92.0,97.0,92.0,91.0,,,80.0,100.0,81.0,85.0,,,
CCC,2014B,568084,230,0,86.0,241.0,Exam,35,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,Non-Disabled,Distinction,30,241,90,1_ALevel,England,NEW,8935.0,701.0,8.0,0.0,89.35,-150.0,0.9142857142857143,0.9142857142857143,"[60, 600)",CCC_2014B,True,88.0,91.0,92.0,89.0,,,80.0,89.0,85.0,87.0,,,
CCC,2014B,569080,230,0,96.0,241.0,Exam,35,M,London Region,A Level or Equivalent,10-20,0-35,0,30,Non-Disabled,Distinction,30,241,0,1_ALevel,England,NEW,9660.0,776.0,8.0,0.0,96.6,-122.0,0.9428571428571428,0.9428571428571428,"[0, 1)",CCC_2014B,True,92.0,95.0,98.0,97.0,,,100.0,100.0,98.0,96.0,,,
CCC,2014B,569108,230,0,98.0,241.0,Exam,35,M,South East Region,A Level or Equivalent,70-80%,0-35,0,30,Disabled,Distinction,30,241,0,1_ALevel,England,NEW,9724.0,780.0,8.0,0.0,97.24,-45.0,0.9714285714285714,0.9714285714285714,"[0, 1)",CCC_2014B,True,96.0,98.0,98.0,96.0,,,100.0,100.0,96.0,96.0,,,
CCC,2014B,569609,230,0,58.0,241.0,Exam,35,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,4608.0,418.0,7.0,0.0,46.08,-130.0,0.6571428571428571,0.6571428571428571,"[60, 600)",CCC_2014B,True,72.0,61.0,,42.0,,,30.0,70.0,60.0,83.0,,,
CCC,2014B,570410,230,0,42.0,241.0,Exam,35,F,East Anglian Region,No Formal quals,30-40%,0-35,0,60,Non-Disabled,Pass,30,241,30,0_lower_ALevel,England,NEW,2513.0,262.0,5.0,0.0,25.13,-58.0,0.6285714285714286,0.6285714285714286,"[1, 60)",CCC_2014B,True,68.0,,,54.0,,,60.0,47.0,,33.0,,,
CCC,2014B,570872,236,0,42.0,241.0,Exam,35,F,London Region,A Level or Equivalent,30-40%,0-35,0,90,Disabled,Pass,30,241,60,1_ALevel,England,NEW,5964.0,468.0,8.0,0.0,59.64,-92.0,0.8571428571428571,0.8571428571428571,"[60, 600)",CCC_2014B,True,54.0,70.0,56.0,52.0,,,40.0,86.0,58.0,52.0,,,
CCC,2014B,571129,230,0,100.0,241.0,Exam,35,M,Scotland,HE Qualification,90-100%,35+,0,30,Disabled,Distinction,30,241,0,2_higher_ALevel,Scotland,NEW,9818.0,788.0,8.0,0.0,98.18,-29.0,0.9714285714285714,0.9714285714285714,"[0, 1)",CCC_2014B,True,98.0,100.0,97.0,97.0,,,100.0,100.0,96.0,100.0,,,
CCC,2014B,571571,234,0,98.0,241.0,Exam,35,F,East Anglian Region,HE Qualification,20-30%,0-35,0,90,Non-Disabled,Distinction,30,241,60,2_higher_ALevel,England,NEW,3312.0,482.0,5.0,0.0,33.12,-128.0,0.8857142857142857,0.8857142857142857,"[60, 600)",CCC_2014B,True,94.0,,,,,,90.0,98.0,100.0,100.0,,,
CCC,2014B,571776,236,0,74.0,241.0,Exam,35,M,North Region,A Level or Equivalent,0,0-35,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,6211.0,530.0,6.0,0.0,62.11,-281.0,1.0,1.0,"[60, 600)",CCC_2014B,True,84.0,92.0,,88.0,,,90.0,93.0,83.0,,,,
CCC,2014B,572036,230,0,48.0,241.0,Exam,35,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,Non-Disabled,Pass,30,241,90,0_lower_ALevel,England,NEW,6623.0,542.0,8.0,0.0,66.23,-218.0,0.8,0.8,"[60, 600)",CCC_2014B,True,76.0,75.0,55.0,63.0,,,70.0,71.0,67.0,65.0,,,
CCC,2014B,572303,230,0,40.0,241.0,Exam,35,M,Scotland,HE Qualification,90-100%,0-35,0,90,Non-Disabled,Pass,30,241,60,2_higher_ALevel,Scotland,NEW,6798.0,521.0,8.0,0.0,67.98,-136.0,0.6571428571428571,0.6571428571428571,"[60, 600)",CCC_2014B,True,70.0,64.0,79.0,62.0,,,40.0,70.0,77.0,59.0,,,
CCC,2014B,572382,234,0,14.0,241.0,Exam,35,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,120,Non-Disabled,Fail,30,241,90,1_ALevel,England,NEW,2840.0,199.0,6.0,0.0,28.4,-269.0,0.5428571428571428,0.5428571428571428,"[60, 600)",CCC_2014B,False,36.0,20.0,49.0,26.0,,,10.0,58.0,,,,,
CCC,2014B,572570,234,0,60.0,241.0,Exam,35,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,Scotland,NEW,6731.0,533.0,8.0,0.0,67.31,-24.0,0.9142857142857143,0.9142857142857143,"[1, 60)",CCC_2014B,True,72.0,83.0,62.0,61.0,,,70.0,69.0,70.0,46.0,,,
CCC,2014B,572854,234,0,88.0,241.0,Exam,35,F,South East Region,A Level or Equivalent,40-50%,0-35,0,90,Non-Disabled,Distinction,30,241,60,1_ALevel,England,NEW,9187.0,728.0,8.0,0.0,91.87,-29.0,0.9714285714285714,0.9714285714285714,"[60, 600)",CCC_2014B,True,98.0,96.0,91.0,91.0,,,90.0,87.0,88.0,87.0,,,
CCC,2014B,572891,230,0,56.0,241.0,Exam,35,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,England,NEW,5852.0,484.0,8.0,0.0,58.52,-137.0,0.7142857142857143,0.7142857142857143,"[1, 60)",CCC_2014B,True,76.0,41.0,60.0,62.0,,,50.0,78.0,71.0,46.0,,,
CCC,2014B,573377,230,0,54.0,241.0,Exam,35,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,Non-Disabled,Pass,30,241,30,0_lower_ALevel,England,NEW,3712.0,359.0,7.0,0.0,37.12,-148.0,0.7142857142857143,0.7142857142857143,"[1, 60)",CCC_2014B,True,72.0,38.0,27.0,26.0,,,70.0,86.0,40.0,,,,
CCC,2014B,573440,230,0,62.0,241.0,Exam,35,M,Scotland,Lower Than A Level,30-40%,0-35,0,120,Non-Disabled,Pass,30,241,90,0_lower_ALevel,Scotland,NEW,5874.0,461.0,7.0,0.0,58.74,-74.0,0.5428571428571428,0.5428571428571428,"[60, 600)",CCC_2014B,True,82.0,71.0,42.0,72.0,,,70.0,66.0,58.0,,,,
CCC,2014B,573558,234,0,52.0,241.0,Exam,35,M,North Region,A Level or Equivalent,50-60%,0-35,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,England,NEW,6099.0,435.0,8.0,0.0,60.99,-95.0,0.8571428571428571,0.8571428571428571,"[1, 60)",CCC_2014B,True,64.0,81.0,61.0,58.0,,,30.0,65.0,28.0,48.0,,,
CCC,2014B,574221,230,0,96.0,241.0,Exam,35,M,London Region,HE Qualification,60-70%,0-35,0,30,Non-Disabled,Distinction,30,241,0,2_higher_ALevel,England,NEW,9402.0,763.0,8.0,0.0,94.02,-44.0,0.8,0.8,"[0, 1)",CCC_2014B,True,100.0,100.0,94.0,84.0,,,100.0,94.0,100.0,91.0,,,
CCC,2014B,574817,234,0,94.0,241.0,Exam,35,F,Ireland,A Level or Equivalent,0,0-35,0,90,Non-Disabled,Distinction,30,241,60,1_ALevel,Ireland,NEW,5982.0,521.0,6.0,0.0,59.82,-4.0,0.6285714285714286,0.6285714285714286,"[60, 600)",CCC_2014B,True,,,87.0,88.0,,,90.0,96.0,60.0,100.0,,,
CCC,2014B,575733,234,0,60.0,241.0,Exam,35,M,Wales,Lower Than A Level,20-30%,35+,0,60,Non-Disabled,Pass,30,241,30,0_lower_ALevel,Wales,NEW,6400.0,527.0,8.0,0.0,64.0,-75.0,0.6,0.6,"[1, 60)",CCC_2014B,True,86.0,76.0,62.0,52.0,,,80.0,82.0,59.0,30.0,,,
CCC,2014B,575745,234,0,82.0,241.0,Exam,35,F,North Region,HE Qualification,0,35+,0,130,Non-Disabled,Pass,30,241,100,2_higher_ALevel,England,NEW,7215.0,574.0,8.0,0.0,72.15,-40.0,0.8285714285714286,0.8285714285714286,"[60, 600)",CCC_2014B,True,70.0,66.0,72.0,80.0,,,70.0,79.0,65.0,72.0,,,
CCC,2014B,575824,230,0,88.0,241.0,Exam,35,F,Wales,A Level or Equivalent,80-90%,0-35,0,90,Non-Disabled,Pass,30,241,60,1_ALevel,Wales,NEW,8028.0,635.0,8.0,0.0,80.28,-99.0,0.9714285714285714,0.9714285714285714,"[60, 600)",CCC_2014B,True,88.0,75.0,85.0,80.0,,,70.0,80.0,83.0,74.0,,,
CCC,2014B,575967,230,0,94.0,241.0,Exam,35,M,Wales,A Level or Equivalent,40-50%,0-35,0,150,Non-Disabled,Distinction,30,241,120,1_ALevel,Wales,NEW,4799.0,506.0,6.0,0.0,47.99,-93.0,1.0,1.0,"[60, 600)",CCC_2014B,True,82.0,,,93.0,,,90.0,93.0,100.0,48.0,,,
CCC,2014B,576383,234,0,100.0,241.0,Exam,35,F,South East Region,A Level or Equivalent,90-100%,0-35,0,120,Non-Disabled,Distinction,30,241,90,1_ALevel,England,NEW,9450.0,760.0,8.0,0.0,94.5,-149.0,0.9714285714285714,0.9714285714285714,"[60, 600)",CCC_2014B,True,90.0,89.0,91.0,100.0,,,90.0,100.0,100.0,100.0,,,
CCC,2014B,576413,230,0,100.0,241.0,Exam,35,M,North Region,A Level or Equivalent,10-20,0-35,0,120,Non-Disabled,Distinction,30,241,90,1_ALevel,England,NEW,4238.0,448.0,5.0,0.0,42.38,-268.0,1.0,1.0,"[60, 600)",CCC_2014B,True,,,88.0,,,,80.0,98.0,82.0,100.0,,,
CCC,2014B,576475,234,0,84.0,241.0,Exam,35,F,North Region,A Level or Equivalent,0-10%,35+,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,3391.0,372.0,5.0,0.0,33.91,-67.0,0.9714285714285714,0.9714285714285714,"[60, 600)",CCC_2014B,True,,,,62.0,,,60.0,93.0,83.0,74.0,,,
CCC,2014B,576516,230,0,22.0,241.0,Exam,35,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,Non-Disabled,Fail,30,241,30,1_ALevel,England,NEW,4728.0,393.0,8.0,0.0,47.28,-40.0,0.7142857142857143,0.7142857142857143,"[1, 60)",CCC_2014B,False,86.0,46.0,31.0,57.0,,,50.0,78.0,19.0,26.0,,,
CCC,2014B,576780,230,0,100.0,241.0,Exam,35,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,Non-Disabled,Distinction,30,241,90,1_ALevel,England,NEW,5128.0,555.0,6.0,0.0,51.28,-209.0,0.9428571428571428,0.9428571428571428,"[60, 600)",CCC_2014B,True,86.0,,93.0,,,,100.0,100.0,96.0,80.0,,,
CCC,2014B,577035,230,0,94.0,241.0,Exam,35,M,South Region,HE Qualification,90-100%,35+,0,90,Non-Disabled,Distinction,30,241,60,2_higher_ALevel,England,NEW,9826.0,774.0,8.0,0.0,98.26,-260.0,0.8,0.8,"[60, 600)",CCC_2014B,True,96.0,100.0,98.0,100.0,,,90.0,94.0,96.0,100.0,,,
CCC,2014B,577245,243,0,34.0,241.0,Exam,35,M,South Region,Lower Than A Level,80-90%,0-35,0,60,Non-Disabled,Fail,30,241,30,0_lower_ALevel,England,NEW,5696.0,480.0,8.0,0.0,56.96,-25.0,0.8285714285714286,0.8285714285714286,"[1, 60)",CCC_2014B,False,58.0,68.0,41.0,51.0,,,60.0,82.0,57.0,63.0,,,
CCC,2014B,577414,234,0,86.0,241.0,Exam,35,M,Scotland,HE Qualification,0-10%,0-35,0,120,Non-Disabled,Pass,30,241,90,2_higher_ALevel,Scotland,NEW,6249.0,531.0,7.0,0.0,62.49,-29.0,0.7428571428571429,0.7428571428571429,"[60, 600)",CCC_2014B,True,68.0,69.0,,92.0,,,40.0,81.0,94.0,87.0,,,
CCC,2014B,577502,230,0,82.0,241.0,Exam,35,F,Wales,A Level or Equivalent,20-30%,0-35,0,90,Non-Disabled,Pass,30,241,60,1_ALevel,Wales,NEW,4003.0,423.0,5.0,0.0,40.03,-107.0,0.8857142857142857,0.8857142857142857,"[60, 600)",CCC_2014B,True,,,89.0,,,,90.0,87.0,81.0,76.0,,,
CCC,2014B,577686,234,0,36.0,241.0,Exam,35,M,North Region,A Level or Equivalent,0,0-35,0,60,Non-Disabled,Fail,30,241,30,1_ALevel,England,NEW,5360.0,488.0,7.0,0.0,53.6,-40.0,0.4857142857142857,0.4857142857142857,"[1, 60)",CCC_2014B,False,56.0,82.0,,63.0,,,90.0,90.0,46.0,61.0,,,
CCC,2014B,578189,234,0,62.0,241.0,Exam,35,F,West Midlands Region,A Level or Equivalent,40-50%,35+,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,8928.0,686.0,8.0,0.0,89.28,-170.0,0.8571428571428571,0.8571428571428571,"[60, 600)",CCC_2014B,True,96.0,95.0,88.0,84.0,,,50.0,94.0,96.0,83.0,,,
CCC,2014B,578655,234,0,80.0,241.0,Exam,35,F,Ireland,A Level or Equivalent,60-70%,0-35,0,150,Non-Disabled,Pass,30,241,120,1_ALevel,Ireland,NEW,7198.0,544.0,8.0,0.0,71.98,-138.0,0.9428571428571428,0.9428571428571428,"[60, 600)",CCC_2014B,True,72.0,81.0,74.0,72.0,,,60.0,44.0,50.0,91.0,,,
CCC,2014B,578850,230,0,78.0,241.0,Exam,35,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,90,Non-Disabled,Pass,30,241,60,1_ALevel,England,NEW,8045.0,636.0,8.0,0.0,80.45,-123.0,0.7714285714285715,0.7714285714285715,"[60, 600)",CCC_2014B,True,88.0,90.0,77.0,81.0,,,90.0,63.0,88.0,59.0,,,
CCC,2014B,578958,230,0,42.0,241.0,Exam,35,M,Wales,Lower Than A Level,20-30%,35+,0,135,Non-Disabled,Pass,30,241,105,0_lower_ALevel,Wales,NEW,2768.0,274.0,6.0,0.0,27.68,-36.0,0.9428571428571428,0.9428571428571428,"[60, 600)",CCC_2014B,True,60.0,,34.0,28.0,,,50.0,52.0,50.0,,,,
CCC,2014B,579343,230,0,74.0,241.0,Exam,35,M,West Midlands Region,HE Qualification,40-50%,0-35,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,England,NEW,7862.0,608.0,8.0,0.0,78.62,-24.0,0.9428571428571428,0.9428571428571428,"[1, 60)",CCC_2014B,True,68.0,90.0,84.0,72.0,,,70.0,94.0,73.0,57.0,,,
CCC,2014B,579550,230,0,46.0,241.0,Exam,35,M,Wales,A Level or Equivalent,20-30%,0-35,0,120,Disabled,Pass,30,241,90,1_ALevel,Wales,NEW,5034.0,451.0,7.0,0.0,50.34,-54.0,0.7714285714285715,0.7714285714285715,"[60, 600)",CCC_2014B,True,84.0,94.0,,42.0,,,90.0,22.0,80.0,39.0,,,
CCC,2014B,580525,230,0,86.0,241.0,Exam,35,M,North Region,HE Qualification,0,0-35,0,60,Non-Disabled,Distinction,30,241,30,2_higher_ALevel,England,NEW,8602.0,652.0,8.0,0.0,86.02,-24.0,0.9142857142857143,0.9142857142857143,"[1, 60)",CCC_2014B,True,86.0,90.0,89.0,84.0,,,50.0,82.0,80.0,91.0,,,
CCC,2014B,580779,230,0,66.0,241.0,Exam,35,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,90,Non-Disabled,Pass,30,241,60,1_ALevel,England,NEW,6977.0,546.0,8.0,0.0,69.77,-25.0,0.9142857142857143,0.9142857142857143,"[60, 600)",CCC_2014B,True,88.0,76.0,81.0,58.0,,,70.0,69.0,52.0,52.0,,,
CCC,2014B,581614,230,0,44.0,241.0,Exam,35,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,5185.0,391.0,7.0,0.0,51.85,-273.0,0.7142857142857143,0.7142857142857143,"[60, 600)",CCC_2014B,True,72.0,75.0,63.0,26.0,,,40.0,71.0,44.0,,,,
CCC,2014B,582108,230,0,32.0,241.0,Exam,35,M,London Region,A Level or Equivalent,10-20,0-35,0,90,Non-Disabled,Fail,30,241,60,1_ALevel,England,NEW,6708.0,577.0,8.0,0.0,67.08,-268.0,0.7428571428571429,0.7428571428571429,"[60, 600)",CCC_2014B,False,78.0,40.0,81.0,67.0,,,90.0,78.0,82.0,61.0,,,
CCC,2014B,582879,230,0,78.0,241.0,Exam,35,M,East Anglian Region,Lower Than A Level,40-50%,35+,0,90,Non-Disabled,Pass,30,241,60,0_lower_ALevel,England,NEW,7934.0,615.0,8.0,0.0,79.34,-51.0,0.8571428571428571,0.8571428571428571,"[60, 600)",CCC_2014B,True,86.0,71.0,86.0,76.0,,,40.0,94.0,75.0,87.0,,,
CCC,2014B,582950,234,0,92.0,241.0,Exam,35,M,Scotland,HE Qualification,30-40%,0-35,0,90,Non-Disabled,Distinction,30,241,60,2_higher_ALevel,Scotland,NEW,8909.0,692.0,8.0,0.0,89.09,-29.0,0.8857142857142857,0.8857142857142857,"[60, 600)",CCC_2014B,True,96.0,91.0,92.0,83.0,,,60.0,87.0,92.0,91.0,,,
CCC,2014B,583032,230,0,92.0,241.0,Exam,35,M,Scotland,HE Qualification,50-60%,0-35,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,Scotland,NEW,7742.0,599.0,8.0,0.0,77.42,-155.0,0.8,0.8,"[1, 60)",CCC_2014B,True,94.0,90.0,80.0,74.0,,,80.0,80.0,73.0,28.0,,,
CCC,2014B,583192,230,0,90.0,241.0,Exam,35,F,Scotland,HE Qualification,90-100%,0-35,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,Scotland,NEW,7738.0,592.0,8.0,0.0,77.38,-75.0,0.9428571428571428,0.9428571428571428,"[1, 60)",CCC_2014B,True,74.0,88.0,76.0,85.0,,,80.0,78.0,52.0,59.0,,,
CCC,2014B,583906,230,0,98.0,241.0,Exam,35,M,London Region,A Level or Equivalent,30-40%,0-35,0,30,Non-Disabled,Distinction,30,241,0,1_ALevel,England,NEW,9590.0,770.0,8.0,0.0,95.9,-17.0,0.9428571428571428,0.9428571428571428,"[0, 1)",CCC_2014B,True,92.0,98.0,94.0,96.0,,,100.0,94.0,100.0,96.0,,,
CCC,2014B,584191,230,0,60.0,241.0,Exam,35,M,East Midlands Region,HE Qualification,70-80%,0-35,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,England,NEW,6782.0,485.0,7.0,0.0,67.82,-28.0,0.8571428571428571,0.8571428571428571,"[1, 60)",CCC_2014B,True,64.0,85.0,72.0,69.0,,,40.0,86.0,69.0,,,,
CCC,2014B,584446,234,0,44.0,241.0,Exam,35,F,Ireland,HE Qualification,0,0-35,0,120,Non-Disabled,Pass,30,241,90,2_higher_ALevel,Ireland,NEW,5159.0,365.0,7.0,0.0,51.59,-257.0,0.42857142857142855,0.42857142857142855,"[60, 600)",CCC_2014B,True,64.0,44.0,67.0,60.0,,,30.0,39.0,,61.0,,,
CCC,2014B,584940,230,0,66.0,241.0,Exam,35,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Non-Disabled,Pass,30,241,30,1_ALevel,England,NEW,4266.0,409.0,6.0,0.0,42.66,-17.0,0.9714285714285714,0.9714285714285714,"[1, 60)",CCC_2014B,True,,57.0,,54.0,,,80.0,80.0,75.0,63.0,,,
CCC,2014B,585057,236,0,88.0,241.0,Exam,35,M,North Region,HE Qualification,0,0-35,0,90,Non-Disabled,Pass,30,241,60,2_higher_ALevel,England,NEW,7491.0,596.0,8.0,0.0,74.91,-141.0,0.8,0.8,"[60, 600)",CCC_2014B,True,78.0,76.0,81.0,66.0,,,70.0,57.0,92.0,76.0,,,
CCC,2014B,585093,236,0,100.0,241.0,Exam,35,M,North Region,Post Graduate Qualification,0,35+,0,90,Non-Disabled,Distinction,30,241,60,2_higher_ALevel,England,NEW,9522.0,771.0,8.0,0.0,95.22,-57.0,1.0,1.0,"[60, 600)",CCC_2014B,True,92.0,93.0,94.0,96.0,,,100.0,100.0,100.0,96.0,,,
CCC,2014B,585383,230,0,82.0,241.0,Exam,35,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,Non-Disabled,Pass,30,241,90,1_ALevel,England,NEW,7555.0,621.0,8.0,0.0,75.55,-242.0,0.6,0.6,"[60, 600)",CCC_2014B,True,76.0,82.0,75.0,67.0,,,90.0,85.0,81.0,65.0,,,
CCC,2014B,585393,230,0,92.0,241.0,Exam,35,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,Non-Disabled,Distinction,30,241,30,1_ALevel,England,NEW,9682.0,774.0,8.0,0.0,96.82,-74.0,1.0,1.0,"[1, 60)",CCC_2014B,True,98.0,100.0,93.0,95.0,,,90.0,100.0,98.0,100.0,,,
