week,num_students_registered,mod_pres
28,1144,BBB_2014B
29,1140,BBB_2014B
30,1132,BBB_2014B
31,1128,BBB_2014B
32,1124,BBB_2014B
33,1124,BBB_2014B
0,1996,BBB_2014J
1,1973,BBB_2014J
2,1791,BBB_2014J
3,1801,BBB_2014J
4,1786,BBB_2014J
5,1781,BBB_2014J
6,1775,BBB_2014J
7,1771,BBB_2014J
8,1750,BBB_2014J
9,1740,BBB_2014J
10,1732,BBB_2014J
11,1725,BBB_2014J
12,1723,BBB_2014J
13,1719,BBB_2014J
14,1713,BBB_2014J
15,1702,BBB_2014J
16,1691,BBB_2014J
17,1685,BBB_2014J
18,1673,BBB_2014J
19,1664,BBB_2014J
20,1657,BBB_2014J
21,1652,BBB_2014J
22,1625,BBB_2014J
23,1609,BBB_2014J
24,1596,BBB_2014J
25,1591,BBB_2014J
26,1587,BBB_2014J
27,1581,BBB_2014J
28,1577,BBB_2014J
29,1566,BBB_2014J
30,1564,BBB_2014J
31,1563,BBB_2014J
32,1563,BBB_2014J
33,1557,BBB_2014J
34,1556,BBB_2014J
35,1556,BBB_2014J
36,1556,BBB_2014J
37,1556,BBB_2014J
0,1646,CCC_2014B
1,1632,CCC_2014B
2,1592,CCC_2014B
3,1545,CCC_2014B
4,1500,CCC_2014B
5,1452,CCC_2014B
6,1417,CCC_2014B
7,1384,CCC_2014B
8,1362,CCC_2014B
9,1346,CCC_2014B
10,1317,CCC_2014B
11,1306,CCC_2014B
12,1299,CCC_2014B
13,1286,CCC_2014B
14,1279,CCC_2014B
15,1253,CCC_2014B
16,1233,CCC_2014B
17,1219,CCC_2014B
18,1205,CCC_2014B
19,1190,CCC_2014B
20,1178,CCC_2014B
21,1164,CCC_2014B
22,1150,CCC_2014B
23,1143,CCC_2014B
24,1131,CCC_2014B
25,1125,CCC_2014B
26,1111,CCC_2014B
27,1105,CCC_2014B
28,1101,CCC_2014B
29,1091,CCC_2014B
30,1080,CCC_2014B
31,1067,CCC_2014B
32,1050,CCC_2014B
33,1038,CCC_2014B
34,1038,CCC_2014B
0,2271,CCC_2014J
1,2255,CCC_2014J
2,2078,CCC_2014J
3,2053,CCC_2014J
4,2020,CCC_2014J
5,1946,CCC_2014J
6,1925,CCC_2014J
7,1907,CCC_2014J
8,1879,CCC_2014J
9,1852,CCC_2014J
10,1821,CCC_2014J
11,1790,CCC_2014J
12,1782,CCC_2014J
13,1767,CCC_2014J
14,1751,CCC_2014J
15,1730,CCC_2014J
16,1690,CCC_2014J
17,1671,CCC_2014J
18,1658,CCC_2014J
19,1644,CCC_2014J
20,1629,CCC_2014J
21,1612,CCC_2014J
22,1597,CCC_2014J
23,1559,CCC_2014J
24,1534,CCC_2014J
25,1515,CCC_2014J
26,1504,CCC_2014J
27,1496,CCC_2014J
28,1489,CCC_2014J
29,1482,CCC_2014J
30,1476,CCC_2014J
31,1471,CCC_2014J
32,1466,CCC_2014J
33,1463,CCC_2014J
34,1451,CCC_2014J
35,1448,CCC_2014J
36,1448,CCC_2014J
37,1448,CCC_2014J
38,1448,CCC_2014J
0,1211,DDD_2013B
1,1206,DDD_2013B
2,1195,DDD_2013B
3,1189,DDD_2013B
4,1141,DDD_2013B
5,1129,DDD_2013B
6,1113,DDD_2013B
7,1102,DDD_2013B
8,1083,DDD_2013B
9,1072,DDD_2013B
10,1064,DDD_2013B
11,1050,DDD_2013B
12,1035,DDD_2013B
13,1028,DDD_2013B
14,1019,DDD_2013B
15,1014,DDD_2013B
16,1000,DDD_2013B
17,998,DDD_2013B
18,988,DDD_2013B
19,984,DDD_2013B
20,974,DDD_2013B
21,962,DDD_2013B
22,953,DDD_2013B
23,940,DDD_2013B
24,935,DDD_2013B
25,925,DDD_2013B
26,918,DDD_2013B
27,917,DDD_2013B
28,912,DDD_2013B
29,909,DDD_2013B
30,902,DDD_2013B
31,894,DDD_2013B
32,880,DDD_2013B
33,870,DDD_2013B
34,870,DDD_2013B
0,1701,DDD_2013J
1,1691,DDD_2013J
2,1675,DDD_2013J
3,1661,DDD_2013J
4,1647,DDD_2013J
5,1628,DDD_2013J
6,1612,DDD_2013J
7,1595,DDD_2013J
8,1574,DDD_2013J
9,1555,DDD_2013J
10,1546,DDD_2013J
11,1540,DDD_2013J
12,1532,DDD_2013J
13,1509,DDD_2013J
14,1493,DDD_2013J
15,1479,DDD_2013J
16,1471,DDD_2013J
17,1454,DDD_2013J
18,1431,DDD_2013J
19,1419,DDD_2013J
20,1409,DDD_2013J
21,1403,DDD_2013J
22,1387,DDD_2013J
23,1377,DDD_2013J
24,1344,DDD_2013J
25,1330,DDD_2013J
26,1325,DDD_2013J
27,1321,DDD_2013J
28,1318,DDD_2013J
29,1311,DDD_2013J
30,1295,DDD_2013J
31,1280,DDD_2013J
32,1271,DDD_2013J
33,1263,DDD_2013J
34,1254,DDD_2013J
35,1254,DDD_2013J
36,1254,DDD_2013J
37,1254,DDD_2013J
0,1081,DDD_2014B
1,1077,DDD_2014B
2,1049,DDD_2014B
3,1040,DDD_2014B
4,1028,DDD_2014B
5,1012,DDD_2014B
6,999,DDD_2014B
7,989,DDD_2014B
8,971,DDD_2014B
9,962,DDD_2014B
10,948,DDD_2014B
11,935,DDD_2014B
12,925,DDD_2014B
13,922,DDD_2014B
14,913,DDD_2014B
15,904,DDD_2014B
16,899,DDD_2014B
17,891,DDD_2014B
18,882,DDD_2014B
19,878,DDD_2014B
20,869,DDD_2014B
21,857,DDD_2014B
22,850,DDD_2014B
23,835,DDD_2014B
24,826,DDD_2014B
25,816,DDD_2014B
26,795,DDD_2014B
27,790,DDD_2014B
28,784,DDD_2014B
29,776,DDD_2014B
30,771,DDD_2014B
31,760,DDD_2014B
32,756,DDD_2014B
33,738,DDD_2014B
34,738,DDD_2014B
0,1649,DDD_2014J
1,1602,DDD_2014J
2,1481,DDD_2014J
3,1470,DDD_2014J
4,1463,DDD_2014J
5,1459,DDD_2014J
6,1449,DDD_2014J
7,1439,DDD_2014J
8,1418,DDD_2014J
9,1403,DDD_2014J
10,1387,DDD_2014J
11,1375,DDD_2014J
12,1372,DDD_2014J
13,1370,DDD_2014J
14,1357,DDD_2014J
15,1348,DDD_2014J
16,1331,DDD_2014J
17,1317,DDD_2014J
18,1308,DDD_2014J
19,1304,DDD_2014J
20,1298,DDD_2014J
21,1286,DDD_2014J
22,1264,DDD_2014J
23,1248,DDD_2014J
24,1234,DDD_2014J
25,1224,DDD_2014J
26,1219,DDD_2014J
27,1213,DDD_2014J
28,1204,DDD_2014J
29,1201,DDD_2014J
30,1195,DDD_2014J
31,1188,DDD_2014J
32,1184,DDD_2014J
33,1180,DDD_2014J
34,1172,DDD_2014J
35,1172,DDD_2014J
36,1172,DDD_2014J
37,1172,DDD_2014J
0,953,EEE_2013J
1,948,EEE_2013J
2,933,EEE_2013J
3,930,EEE_2013J
4,926,EEE_2013J
5,918,EEE_2013J
6,911,EEE_2013J
7,907,EEE_2013J
8,905,EEE_2013J
9,900,EEE_2013J
10,895,EEE_2013J
11,885,EEE_2013J
12,884,EEE_2013J
13,884,EEE_2013J
14,877,EEE_2013J
15,873,EEE_2013J
16,867,EEE_2013J
17,862,EEE_2013J
18,859,EEE_2013J
19,855,EEE_2013J
20,852,EEE_2013J
21,847,EEE_2013J
22,843,EEE_2013J
23,836,EEE_2013J
24,834,EEE_2013J
25,827,EEE_2013J
26,825,EEE_2013J
27,823,EEE_2013J
28,820,EEE_2013J
29,819,EEE_2013J
30,818,EEE_2013J
31,818,EEE_2013J
32,817,EEE_2013J
33,814,EEE_2013J
34,809,EEE_2013J
35,809,EEE_2013J
36,809,EEE_2013J
37,809,EEE_2013J
38,809,EEE_2013J
0,622,EEE_2014B
1,619,EEE_2014B
2,614,EEE_2014B
3,608,EEE_2014B
4,605,EEE_2014B
5,601,EEE_2014B
6,600,EEE_2014B
7,593,EEE_2014B
8,586,EEE_2014B
9,585,EEE_2014B
10,578,EEE_2014B
11,573,EEE_2014B
12,571,EEE_2014B
13,567,EEE_2014B
14,566,EEE_2014B
15,562,EEE_2014B
16,560,EEE_2014B
17,558,EEE_2014B
18,555,EEE_2014B
19,549,EEE_2014B
20,547,EEE_2014B
21,546,EEE_2014B
22,545,EEE_2014B
23,544,EEE_2014B
24,541,EEE_2014B
25,539,EEE_2014B
26,537,EEE_2014B
27,537,EEE_2014B
28,536,EEE_2014B
29,533,EEE_2014B
30,530,EEE_2014B
31,528,EEE_2014B
32,524,EEE_2014B
33,521,EEE_2014B
34,521,EEE_2014B
0,1115,EEE_2014J
1,1111,EEE_2014J
2,1027,EEE_2014J
3,1025,EEE_2014J
4,1020,EEE_2014J
5,1006,EEE_2014J
6,1002,EEE_2014J
7,998,EEE_2014J
8,997,EEE_2014J
9,992,EEE_2014J
10,984,EEE_2014J
11,967,EEE_2014J
12,963,EEE_2014J
13,960,EEE_2014J
14,957,EEE_2014J
15,954,EEE_2014J
16,947,EEE_2014J
17,944,EEE_2014J
18,939,EEE_2014J
19,932,EEE_2014J
20,927,EEE_2014J
21,922,EEE_2014J
22,915,EEE_2014J
23,909,EEE_2014J
24,903,EEE_2014J
25,898,EEE_2014J
26,897,EEE_2014J
27,895,EEE_2014J
28,893,EEE_2014J
29,893,EEE_2014J
30,892,EEE_2014J
31,892,EEE_2014J
32,889,EEE_2014J
33,889,EEE_2014J
34,886,EEE_2014J
35,886,EEE_2014J
36,886,EEE_2014J
37,886,EEE_2014J
38,886,EEE_2014J
0,1521,FFF_2013B
1,1524,FFF_2013B
2,1519,FFF_2013B
3,1510,FFF_2013B
4,1453,FFF_2013B
5,1441,FFF_2013B
6,1432,FFF_2013B
7,1419,FFF_2013B
8,1408,FFF_2013B
9,1391,FFF_2013B
10,1379,FFF_2013B
11,1372,FFF_2013B
12,1361,FFF_2013B
13,1341,FFF_2013B
14,1333,FFF_2013B
15,1323,FFF_2013B
16,1318,FFF_2013B
17,1311,FFF_2013B
18,1305,FFF_2013B
19,1294,FFF_2013B
20,1281,FFF_2013B
21,1273,FFF_2013B
22,1269,FFF_2013B
23,1262,FFF_2013B
24,1254,FFF_2013B
25,1242,FFF_2013B
26,1231,FFF_2013B
27,1231,FFF_2013B
28,1226,FFF_2013B
29,1223,FFF_2013B
30,1218,FFF_2013B
31,1210,FFF_2013B
32,1202,FFF_2013B
33,1202,FFF_2013B
34,1202,FFF_2013B
0,2029,FFF_2013J
1,2020,FFF_2013J
2,1998,FFF_2013J
3,1991,FFF_2013J
4,1983,FFF_2013J
5,1964,FFF_2013J
6,1950,FFF_2013J
7,1926,FFF_2013J
8,1916,FFF_2013J
9,1899,FFF_2013J
10,1884,FFF_2013J
11,1872,FFF_2013J
12,1864,FFF_2013J
13,1852,FFF_2013J
14,1810,FFF_2013J
15,1784,FFF_2013J
16,1768,FFF_2013J
17,1760,FFF_2013J
18,1754,FFF_2013J
19,1735,FFF_2013J
20,1719,FFF_2013J
21,1711,FFF_2013J
22,1704,FFF_2013J
23,1691,FFF_2013J
24,1681,FFF_2013J
25,1667,FFF_2013J
26,1657,FFF_2013J
27,1649,FFF_2013J
28,1646,FFF_2013J
29,1640,FFF_2013J
30,1637,FFF_2013J
31,1634,FFF_2013J
32,1630,FFF_2013J
33,1618,FFF_2013J
34,1607,FFF_2013J
35,1607,FFF_2013J
36,1607,FFF_2013J
37,1607,FFF_2013J
38,1607,FFF_2013J
0,1326,FFF_2014B
1,1325,FFF_2014B
2,1310,FFF_2014B
3,1306,FFF_2014B
4,1301,FFF_2014B
5,1291,FFF_2014B
6,1283,FFF_2014B
7,1272,FFF_2014B
8,1257,FFF_2014B
9,1246,FFF_2014B
10,1238,FFF_2014B
11,1233,FFF_2014B
12,1223,FFF_2014B
13,1203,FFF_2014B
14,1192,FFF_2014B
15,1179,FFF_2014B
16,1173,FFF_2014B
17,1165,FFF_2014B
18,1159,FFF_2014B
19,1142,FFF_2014B
20,1134,FFF_2014B
21,1120,FFF_2014B
22,1111,FFF_2014B
23,1100,FFF_2014B
24,1097,FFF_2014B
25,1090,FFF_2014B
26,1081,FFF_2014B
27,1078,FFF_2014B
28,1074,FFF_2014B
29,1065,FFF_2014B
30,1058,FFF_2014B
31,1055,FFF_2014B
32,1046,FFF_2014B
33,1039,FFF_2014B
34,1039,FFF_2014B
0,2163,FFF_2014J
1,2136,FFF_2014J
2,1886,FFF_2014J
3,1872,FFF_2014J
4,1859,FFF_2014J
5,1845,FFF_2014J
6,1834,FFF_2014J
7,1816,FFF_2014J
8,1794,FFF_2014J
9,1772,FFF_2014J
10,1754,FFF_2014J
11,1738,FFF_2014J
12,1722,FFF_2014J
13,1707,FFF_2014J
14,1691,FFF_2014J
15,1674,FFF_2014J
16,1667,FFF_2014J
17,1655,FFF_2014J
18,1645,FFF_2014J
19,1637,FFF_2014J
20,1622,FFF_2014J
21,1613,FFF_2014J
22,1604,FFF_2014J
23,1591,FFF_2014J
24,1581,FFF_2014J
25,1567,FFF_2014J
26,1565,FFF_2014J
27,1562,FFF_2014J
28,1556,FFF_2014J
29,1549,FFF_2014J
30,1547,FFF_2014J
31,1545,FFF_2014J
32,1544,FFF_2014J
33,1543,FFF_2014J
34,1537,FFF_2014J
35,1534,FFF_2014J
36,1534,FFF_2014J
37,1534,FFF_2014J
38,1534,FFF_2014J
0,929,GGG_2013J
1,927,GGG_2013J
2,927,GGG_2013J
3,925,GGG_2013J
4,924,GGG_2013J
5,921,GGG_2013J
6,921,GGG_2013J
7,920,GGG_2013J
8,919,GGG_2013J
9,919,GGG_2013J
10,919,GGG_2013J
11,919,GGG_2013J
12,919,GGG_2013J
13,919,GGG_2013J
14,916,GGG_2013J
15,912,GGG_2013J
16,911,GGG_2013J
17,910,GGG_2013J
18,909,GGG_2013J
19,907,GGG_2013J
20,903,GGG_2013J
21,903,GGG_2013J
22,903,GGG_2013J
23,900,GGG_2013J
24,898,GGG_2013J
25,896,GGG_2013J
26,895,GGG_2013J
27,893,GGG_2013J
28,892,GGG_2013J
29,891,GGG_2013J
30,891,GGG_2013J
31,891,GGG_2013J
32,890,GGG_2013J
33,887,GGG_2013J
34,887,GGG_2013J
35,887,GGG_2013J
36,887,GGG_2013J
37,887,GGG_2013J
0,805,GGG_2014B
1,806,GGG_2014B
2,802,GGG_2014B
3,800,GGG_2014B
4,797,GGG_2014B
5,794,GGG_2014B
6,793,GGG_2014B
7,791,GGG_2014B
8,790,GGG_2014B
9,789,GGG_2014B
10,788,GGG_2014B
11,787,GGG_2014B
12,786,GGG_2014B
13,782,GGG_2014B
14,781,GGG_2014B
15,778,GGG_2014B
16,778,GGG_2014B
17,775,GGG_2014B
18,774,GGG_2014B
19,768,GGG_2014B
20,764,GGG_2014B
21,760,GGG_2014B
22,757,GGG_2014B
23,755,GGG_2014B
24,754,GGG_2014B
25,752,GGG_2014B
26,749,GGG_2014B
27,746,GGG_2014B
28,744,GGG_2014B
29,743,GGG_2014B
30,740,GGG_2014B
31,736,GGG_2014B
32,733,GGG_2014B
33,733,GGG_2014B
34,733,GGG_2014B
0,686,GGG_2014J
1,726,GGG_2014J
2,719,GGG_2014J
3,721,GGG_2014J
4,717,GGG_2014J
5,714,GGG_2014J
6,712,GGG_2014J
7,704,GGG_2014J
8,698,GGG_2014J
9,692,GGG_2014J
10,686,GGG_2014J
11,677,GGG_2014J
12,673,GGG_2014J
13,673,GGG_2014J
14,667,GGG_2014J
15,663,GGG_2014J
16,661,GGG_2014J
17,658,GGG_2014J
18,653,GGG_2014J
19,649,GGG_2014J
20,647,GGG_2014J
21,644,GGG_2014J
22,642,GGG_2014J
23,639,GGG_2014J
24,636,GGG_2014J
25,630,GGG_2014J
26,630,GGG_2014J
27,630,GGG_2014J
28,630,GGG_2014J
29,630,GGG_2014J
30,629,GGG_2014J
31,629,GGG_2014J
32,627,GGG_2014J
33,625,GGG_2014J
34,625,GGG_2014J
35,625,GGG_2014J
36,625,GGG_2014J
37,625,GGG_2014J
38,625,GGG_2014J
